person_name|person_surname|startup_name|role|founding_date|equity_percentage|is_current|exit_date
Ludovico|Grassi|This Unique|Co-Founder & CMO|2021||True|
Vincenzo|Mansi|This Unique|Co-Founder & CEO|2021||True|
Alice|Carbonara|This Unique|Co-Founder & COO|2021||True|
Lisa|Iannello|This Unique|Co-Founder & CPO|2021||True|
Doris|Messina|Tot|Co-Founder & CEO|2020||True|
Bruno|Reggiani|Tot|Co-Founder & COO|2020||True|
Andrea|Susta|Tot|Co-Founder|2020||True|
Stefan|Grbović|TreeBlock|Co-Founder & CEO|2021||True|
Alfredo|Sergio Dallari|TreeBlock|Co-Founder & CTO|2021||True|
Giuseppe|Cristiano De Bernardo|TreeBlock|Co-Founder & CFO|2021||True|
Andjela|Bozinac|TreeBlock|Co-Founder & CSO|2021||True|
Marco|Marchesani|TreeBlock|Co-Founder & CMO|2021||True|
Jules-Arthur|Sastre|Tundr|Co-Founder & CEO|2022||True|
Giorgio|Seveso|Tundr|Co-Founder|2022||True|
Davide|Todeschini|TwinPlay.ai|Founder|2022||True|
Alessandro|Cappellazzo|UchiRent|Co-Founder|2024||True|
Elia|Romano|UchiRent|Co-Founder & COO|2024||True|
Thomas|Romano|UchiRent|Co-Founder & CEO|2024||True|
Simone|Fantinato|UchiRent|Co-Founder|2024||True|
Savio|Los|Unexpected Italy|Co-Founder|2022||True|
Elisabetta|Faggiana|Unexpected Italy|Co-Founder|2022||True|
Lorenzo|Braghetto|Unipiazza|CTO|2018||True|
Edoardo|Parisi|Unipiazza|CEO|2018||True|
Umberto|Parisi|Unipiazza|Co-Founder|2018||True|
Tommaso|Sorrentino|Unipiazza|COO|2018||True|
Danila|De Stefano|Unobravo|Founder & CEO|2018||True|
Andrea|Zuanetti|Up2You|Co-Founder & CEO|2019||True|
Alessandro|Broglia|Up2You|Co-Founder|2019||True|
Lorenzo|Vendemini|Up2You|Co-Founder & CPO|2019||True|
Michele|Grazioli|Vedrai|Founder|2020||True|
Matteo|Masserdotti|Viceversa|CEO & Founder|2020||True|
Veronica|Fusco|Viel Collection|Founder|2019||True|
Vincenzo|Vitiello|Vitesy|Co-Founder & CPO|2016||True|
Paolo|Ganis|Vitesy|Co-Founder & CEO|2016||True|
Alessio|D'Andrea|Vitesy|Co-Founder & COO|2016||True|
Alessandro|Galli|Vocations|Co-Founder|2024||True|
Alessio|Primo Gavinelli|Vocations|Co-Founder|2024||True|
Simone|Pessina|Vocations|Co-Founder|2024||True|
Daniel|Kaidanovic|Voidless|Co-Founder & CTO|2022||True|
Carlo|Villani|Voidless|Co-Founder & CEO|2022||True|
Mattia|Bertolani|Voidless|Co-Founder & CFO|2022||True|
Michelangelo|Guarise|Volumio|Founder & CEO|2019||True|
Giacomo|Stefanini|WAMI - Water with a Mission|Founder|2016||True|
Carlo|Bettini|Wayla|Co-Founder & CEO|2023||True|
Alessandro|Villa|Wayla|Co-Founder & COO|2023||True|
Michele|Quagliata|Wayla|Co-Founder & CLO|2023||True|
Niccolò|Ferrari|Wayla|Co-Founder|2023||True|
Mario|Ferretti|Wayla|Co-Founder & CSO|2023||True|
Samuele|Donato d'Addesio|Weply|Co-Founder|2023||True|
Davide|Guerrieri|Weply|Co-Founder & CEO|2023||True|
Fabio|Bin|WeRoad|Co-Founder|2016||True|
Paolo|De Nadai|WeRoad|Co-Founder|2016||True|
Erika|De Santi|WeRoad|Co-Founder|2016||True|
Alessandro|Busso|Wibo|Co-Founder|2019||True|
Tommaso|Seita|Wibo|Co-Founder & CEO|2019||True|
Chiara|Petrioli|WSENSE|Founder & CEO|2012||True|
Cesare|Gamberi|Wyblo|Co-Founder|2020||True|
Andrea|Ferrero|Young Platform|Co-Founder & Co-CEO|2017||True|
Alexandru|Stefan G.|Young Platform|Co-Founder & Co-CEO|2017||True|
Samuele|Raimondo|Young Platform|Co-Founder & CTO|2017||True|
Leonardo|Vezzati|Zefi.ai|Co-Founder|2022||True|
Nicola|Sebastianelli|Zefi.ai|Co-Founder & CTO|2022||True|
Daniele|Borlizzi|Zefi.ai|Co-Founder|2022||True|
Alexandros|Fokianos|Zefi.ai|Co-Founder|2022||True|
Aurora|Maggio|Zefi.ai|Co-founder & CEO|2022||True|
Irene|Simone|Zero Impack|Co-Founder & CEO|2021||True|
Giulio|Simone|Zero Impack|Co-Founder|2021||True|
Samuele|Fattori|Zeromy|Co-Founder|2023||True|
Giacomo|Fattori|Zeromy|Co-Founder|2023||True|
Giovanni|Turri|Zeromy|Co-Founder|2023||True|
Gabriele|Rorandelli|Zerow|Co-Founder & CEO|2022||True|
Alessio|Troisi|Zerow|Co-Founder & COO|2022||True|
Abbie|Clement|Ziflo|Co-Founder|2024||True|
Maxim|Ozolin|Ziflo|Co-Founder|2024||True|
Andrea|Bolognesi|Ziflo|Co-Founder|2024||True|
