person_name|person_surname|startup_name|role|founding_date|equity_percentage|is_current|exit_date
Alessandro|La Rosa|CreationDose|Founder & CEO|2018||True|
Lorenzo|Tiberi|Crono|Co-Founder|2022||True|
Alex|Roggero|Crono|Co-Founder & CMO|2022||True|
Marco|Rosmarini|Crono|Co-Founder & CEO|2022||True|
Marco|Maddiona|Crono|Co-Founder & CTO|2022||True|
Domenico|Campeglia|CyberGuardX|CEO|2024||True|
Alessandro|Risaro|Datapizza|Co-Founder|2021||True|
Pierpaolo|D'Odorico|Datapizza|Co-Founder|2021||True|
Lorenzo|Ferretti|DeepTree|Founder|2024||True|
Giuseppe|Calì|Delfi Security|Founder|2023||True|
Mirko|Puliafito|Digitiamo.ai|CEO|2020||True|
Giovanni|Menozzi|Dreamfarm foods|CEO|2021||True|
Virginia|Padovani|Drilly|Co-Founder|2024||True|
Gaia|Roncalli|Ecosmic|Founder & COO|2023||True|
Imane|Marouf|Ecosmic|Founder|2023||True|
Benedetta|Margrethe Cattani|Ecosmic|Founder & CEO / CTO|2023||True|
Eduardo|Galletti|Elevatee|Co-Founder|2023||True|
Andrea|Trotta|Elevatee|Co-Founder|2023||True|
Luca|Gilardoni|Elibra|President|2017||True|
Irene|Pugliatti|Eligo eVoting|CEO|2005||True|
Saverio|Veltri|Eligo eVoting|CTO|2005||True|
Stefano|Casagrande|Elty|Co-Founder & CEO|2019||True|
Andrea|Orani|Elty|Co-Founder & CEO|2019||True|
Lorenza|Silvestri|Empethy|Co-Founder & CMO|2021||True|
Annamaria|Barbaro|Empethy|Co-Founder & CEO|2021||True|
Emidio|Granito|Eoliann|Co-Founder|2021||True|
Roberto|Carnicelli|Eoliann|Co-Founder & CEO|2021||True|
Giovanni|Luddeni|Eoliann|Co-Founder & CTO|2021||True|
Chiara|Mugnai|Eoliann|Co-Founder|2021||True|
Alessio|Polo|FABA|CSO|2019||True|
Matteo|Fabbrini|FABA|CEO|2019||True|
Francesco|Poloniato|FABA|Creative Director|2019||True|
Chiara|Gava|FABA|CPO|2019||True|
Zahir|Fetovski|FABA|CTO|2019||True|
Giacomo|Gallazzi|Finanz|Co-Founder|2023||True|
Matteo|Longoni|Finanz|Co-Founder & CMO|2023||True|
Alessandro|Caccia|Finanz|Co-Founder & COO|2023||True|
Lorenzo|Perotta|Finanz|Co-Founder & CEO|2023||True|
Enrico|Mattiazzi|Fiscozen|CEO|2018||True|
Simone|Gabbana|Flami|Co-Founder|2023||True|
Francesca|Bosio|Flami|Co-Founder|2023||True|
Vittorio|Sileo|Flami|Co-Founder & CEO|2023||True|
Allegra|Violante|Fler|Co-Founder & CEO|2021||True|
Francesca|Accordi|Fler|Co-Founder & COO|2021||True|
Matteo|Mariani|Fluida|CEO|2025||True|
Fabio|Cermelli|Focoos AI|Co-Founder & CTO|2022||True|
Antonio|Tavera|Focoos AI|Co-Founder & CEO|2022||True|
Massimo|Sabatini|Foreverland Food|Co-Founder & CEO|2023||True|
Giuseppe|D'Alessandro|Foreverland Food|Co-Founder & CMO|2023||True|
Michele|Mezzanzanica|Freedome|co-founder / co-CEO|2019||True|
Manuel|Siclari|Freedome|co-founder / co-CEO|2019||True|
Lapo|Nidiaci|FunniFin - Financial Wellbeing|Co-Founder & CEO|2021||True|
Leonardo|Capotosto|FunniFin - Financial Wellbeing|Co-Founder & CMO|2021||True|
Remko|Wiesman|Futura|Co-CEO|2019||True|
Lorenzo|Pinto|Futura|Founder & CTO|2019||True|
Francesco|Salvatore|Futura|Founder & CPO|2019||True|
Andrea|Chirolli|Futura|Founder & Co-Ceo|2019||True|
Andrea|Cappelletti|Galene.AI|CEO & Founder|2025||True|
Angelo|Lippolis|Galene.AI|CTO|2025||True|
Simone|Solidoro|Galene.AI|CMO|2025||True|
Egidio|De Salve|Galene.AI|CAIO|2025||True|
Nicolo|Santin|Gamindo|CEO & Co-founder Gamindo|2018||True|
Mattia|Chiaruttini|Gastona|Co-Founder|2022||True|
Davide|Catrambone|Geentoo|Co-Founder|2025||True|
Riccardo|Grassi|Geentoo|Co-Founder|2025||True|
Pierluigi|Bianchi|Geentoo|Co-Founder|2025||True|
Samir|Khadem|Geentoo|Co-Founder|2025||True|
Simonluca|Piazza|Genoa Instruments|CEO|2019||True|
Matteo|Cera|Glaut|CEO|2024||True|
Niccolo|Valerio|Glaut|Co-Founder|2024||True|
Giovanni|Del Gallo|Glaut|Co-Founder|2024||True|
Filippo|Ronconi|Golee|Co-Founder|2017||True|
Marco|Morri|Golee|Co-Founder|2017||True|
Rongou|Zhou|Grateful.social|Co-Founder & CIO|2024||True|
Emidio|Pesce|Grateful.social|Co-Founder & CEO|2024||True|
Greta|Beccarello|GRLS|CMO & Co-Founder|2021||True|
Benedetta|Tornesi|GRLS|CEO & Co-Founder|2021||True|
Guglielmo| Tornesi|GRLS|CTO & Co-Founder|2021||True|
Miriam|Sanguineti|GRLS|Head of Design & Co-Founder|2021||True|
Francesco| Berardinucci|Groupy|Co-fondatore|2024||True|
Flaminia|Gaia Di Lorenzo|Groupy|Co-Founder|2024||True|
Antonio|Buongiorno|Groupy|Co-Founder|2024||True|
Franz|Uhl|Guidoio|Co-Founder|2022||True|
Lorenzo|Mannari|Guidoio|Co-Founder|2022||True|
Emanuele|Sanfelici|HAT Music|Co-Founder|2018||True|
Riccardo|Lapi|HAT Music|Co-Founder|2018||True|
Gea|Venneri|HAT Music|Co-Founder|2018||True|
Alice|Cancellario|Heloola|Co-Founder|2019||True|
Giada|Cancellario|Heloola|Co-Founder & CEO|2019||True|
