name,fund_size,vintage_year,fund_number,status,target_sectors,target_stages,geographic_focus,first_close_date,final_close_date,investment_period,fund_life,deployed_capital
Exor Ventures,,,Fund I,active,"Deep Tech,AI,Biotech,FinTech","Seed,Series A,Series B","Europe,Italy",,,,,
Vento Ventures Fund II,,,Fund II,active,"Deep Tech,AI,Biotech,SaaS,HealthTech","Seed,Series A","Europe,Italy",,,,,
