name|description|website|founded_year|headquarters|type|investment_focus|stage_focus|geographic_focus|team_size|assets_under_management|portfolio_companies_count
VenturItaly Fund of Funds|CDP Venture Capital fund-of-funds investing in Italian VC funds|https://www.cdpventurecapital.it/en/fondi.page|2019|Italy|VC_Fund|Fund of Funds|Growth|Italy|||
VenturItaly II Fund of Funds|CDP Venture Capital second fund-of-funds investing in Italian VC funds|https://www.cdpventurecapital.it/en/fondi.page|2021|Italy|VC_Fund|Fund of Funds|Growth|Italy|||
Technology Transfer Fund|CDP Venture Capital fund supporting technology transfer and innovation|https://www.cdpventurecapital.it/en/fondi.page|2020|Italy|VC_Fund|Technology Transfer|Growth|Italy|||
International Fund of Funds|CDP Venture Capital fund-of-funds with international investment scope|https://www.cdpventurecapital.it/en/fondi.page|2020|Italy|VC_Fund|International|Growth|Italy|||
Digital Transition NRRP Fund|CDP Venture Capital NRRP fund for digital transformation|https://www.cdpventurecapital.it/en/fondi.page|2022|Italy|VC_Fund|Digital Innovation|Growth|Italy|||
Green Transition NRRP Fund|CDP Venture Capital NRRP fund for green transition|https://www.cdpventurecapital.it/en/fondi.page|2022|Italy|VC_Fund|Green Tech|Growth|Italy|||
